  5  4       -38
 STEP TIME TOTE TOTK ENER
 EP-K TEMP BOND ANGL DIHE
 IMPR VDW  ELEC HBON HARM
 DMC  RGY 
               1          0.0010    -415124.8433       1346.2559    -416471.0992
    -417817.3550        299.8265        234.6958          0.0000          0.0000
          0.0000       1003.4000      -4857.3491          0.0000          0.0007
          0.0000          0.0000
               2          0.0020    -415180.8896       1508.0562    -416688.9458
    -418197.0019        299.3262       2306.2994          0.0000          0.0000
          0.0000        995.7981      -7136.7305          0.0000          0.0029
          0.0000          0.0000
               3          0.0030    -415020.8881        868.8727    -415889.7608
    -416758.6335        298.3503       4911.2743          0.0000          0.0000
          0.0000        990.1735      -8936.3776          0.0000          0.0065
          0.0000          0.0000
               4          0.0040    -415099.1760       1141.4673    -416240.6434
    -417382.1107        297.7691       3917.2287          0.0000          0.0000
          0.0000        988.4307      -8293.9052          0.0000          0.0112
          0.0000          0.0000
