  5  4       -38
 STEP TIME TOTE TOTK ENER
 EP-K TEMP BOND ANGL DIHE
 IMPR VDW  ELEC HBON HARM
 DMC  RGY 
               1          0.0010    -231080.4864        812.9954    -231893.4817
    -232706.4771        296.4204       1336.4612          0.0000          0.0000
          0.0000       1029.1075      -6456.2433          0.0000          0.0000
          0.0000          0.0000
               2          0.0020    -231081.7596        806.6494    -231888.4091
    -232695.0585        293.9231       1328.2583          0.0000          0.0000
          0.0000       1030.0608      -6444.3448          0.0000          0.0000
          0.0000          0.0000
               3          0.0030    -231085.9091        799.8877    -231885.7968
    -232685.6845        291.7351       1338.4265          0.0000          0.0000
          0.0000       1031.5302      -6450.9905          0.0000          0.0000
          0.0000          0.0000
               4          0.0040    -231085.0594        800.2103    -231885.2697
    -232685.4800        291.5401       1354.2144          0.0000          0.0000
          0.0000       1033.3253      -6467.9905          0.0000          0.0000
          0.0000          0.0000
               5          0.0050    -231078.6488        805.6085    -231884.2573
    -232689.8657        293.8731       1365.1816          0.0000          0.0000
          0.0000       1035.1843      -6479.7423          0.0000          0.0000
          0.0000          0.0000
               6          0.0060    -231066.2463        819.5548    -231885.8011
    -232705.3558        299.1349       1359.7014          0.0000          0.0000
          0.0000       1037.0693      -6477.6253          0.0000          0.0000
          0.0000          0.0000
               7          0.0070    -231047.5733        843.2478    -231890.8210
    -232734.0688        307.4138       1342.0327          0.0000          0.0000
          0.0000       1039.4121      -6467.2539          0.0000          0.0000
          0.0000          0.0000
               8          0.0080    -231026.0399        869.9332    -231895.9731
    -232765.9062        317.2214       1332.3223          0.0000          0.0000
          0.0000       1042.0340      -6465.2517          0.0000          0.0000
          0.0000          0.0000
               9          0.0090    -231004.5157        897.5366    -231902.0524
    -232799.5890        327.3604       1338.3716          0.0000          0.0000
          0.0000       1044.2610      -6479.5464          0.0000          0.0000
          0.0000          0.0000
              10          0.0100    -230980.3928        928.3867    -231908.7795
    -232837.1662        338.5628       1356.6025          0.0000          0.0000
          0.0000       1046.6074      -6506.7903          0.0000          0.0000
          0.0000          0.0000
              11          0.0110    -230957.0096        957.3497    -231914.3593
    -232871.7090        349.1763       1374.7677          0.0000          0.0000
          0.0000       1049.0273      -6532.9002          0.0000          0.0000
          0.0000          0.0000
              12          0.0120    -230930.0637        988.5929    -231918.6565
    -232907.2494        360.6287       1380.0365          0.0000          0.0000
          0.0000       1051.7831      -6545.1732          0.0000          0.0000
          0.0000          0.0000
              13          0.0130    -230896.9793       1023.8584    -231920.8377
    -232944.6961        373.4954       1370.2786          0.0000          0.0000
          0.0000       1054.7395      -6540.5128          0.0000          0.0000
          0.0000          0.0000
              14          0.0140    -230861.2825       1059.8843    -231921.1668
    -232981.0510        386.6224       1353.7140          0.0000          0.0000
          0.0000       1057.6472      -6527.1464          0.0000          0.0000
          0.0000          0.0000
              15          0.0150    -230822.2905       1096.4036    -231918.6940
    -233015.0976        399.9877       1343.4961          0.0000          0.0000
          0.0000       1060.7563      -6517.5331          0.0000          0.0000
          0.0000          0.0000
              16          0.0160    -230777.0749       1135.0688    -231912.1436
    -233047.2124        414.0990       1348.5278          0.0000          0.0000
          0.0000       1064.7825      -6520.0147          0.0000          0.0000
          0.0000          0.0000
              17          0.0170    -230729.9487       1170.0842    -231900.0329
    -233070.1171        426.8926       1363.9656          0.0000          0.0000
