# state#       E_ex(nm)   R(10^(-40)erg*cm^3)   Oscillator_strength



      1     364.3991914050     5.5655462083       0.0458515688 
      2     283.2677170513     -0.1751645187       0.0020623083 
      3     241.3243401753     -8.3634378413       0.2009596339 
      4     228.2255615366     10.4511323908       0.2277116643 
      5     221.3965555265     0.9122420433       0.0010291157 
      6     208.6433452924     -11.4609135082       0.0211118675 
      7     205.4670682804     9.5511193132       0.0166924791 
      8     202.7331832001     2.0366643952       0.0204324008 
      9     195.3521282033     -1.9290793046       0.1214412034 
     10     189.3811529830     0.8234552766       0.0010959452 

      1     366.1910851115     5.0993014762       0.0455612175 
      2     283.7520014040     0.0085544264       0.0019032701 
      3     241.8828040914     -8.1135357319       0.1888057179 
      4     228.6843505708     10.8224306931       0.2419723373 
      5     222.2148991664     2.0944873789       0.0007864111 
      6     209.8713646913     -10.8795744288       0.0151936615 
      7     207.0055119563     8.9923800542       0.0192632712 
      8     202.7132432685     1.3398005041       0.0210478600 
      9     196.1783799149     -2.0775889005       0.1179053998 
     10     189.7652368797     -4.1722712269       0.0037945963 

      1     362.2209816515     4.8989691998       0.0465009196 
      2     283.5459235462     0.1464662604       0.0020209167 
      3     241.4956046890     -7.5281887413       0.1736518590 
      4     228.1726567254     10.9317392216       0.2623100933 
      5     220.0129246049     2.2115034399       0.0005777042 
      6     209.8606308674     -9.6132017590       0.0104293251 
      7     207.2800449649     8.5311568719       0.0206769035 
      8     202.4110516312     0.7810849256       0.0279284300 
      9     196.6190843671     -1.3784486184       0.1168804286 
     10     188.8836120640     -7.9325457768       0.0098416883 

      1     354.4256040241     4.4983545119       0.0477962522 
      2     283.1618144168     0.2738848209       0.0025900179 
      3     240.3528773694     -7.1734926530       0.1583617224 
      4     227.0581149597     11.4628633896       0.2843909233 
      5     216.8603798009     1.7678681386       0.0003101955 
      6     208.5168279863     -9.1452216316       0.0120126601 
      7     206.4922706072     9.3697841640       0.0132985226 
      8     202.1780477086     0.1494279581       0.0439779959 
      9     196.8726081741     1.0196908826       0.1208589212 
     10     187.6833440667     -5.2237442226       0.1772414861 

